12020 usec, 4480 usec
4420 usec, 560 usec
1640 usec, 560 usec
1640 usec, 580 usec
1620 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 560 usec
540 usec, 600 usec
1600 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
1640 usec, 560 usec
1640 usec, 560 usec
1640 usec, 580 usec
520 usec, 580 usec
520 usec, 560 usec
540 usec, 560 usec
540 usec, 560 usec
540 usec, 580 usec
520 usec, 560 usec
540 usec, 560 usec
540 usec, 560 usec
1640 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
1640 usec, 560 usec
1620 usec, 580 usec
46120 usec, 4480 usec
4420 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
1620 usec, 580 usec
1640 usec, 560 usec
1620 usec, 580 usec
540 usec, 560 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
1640 usec, 560 usec
1640 usec, 560 usec
1640 usec, 580 usec
520 usec, 580 usec
520 usec, 580 usec
520 usec, 560 usec
540 usec, 560 usec
540 usec, 580 usec
520 usec, 560 usec
540 usec, 560 usec
540 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
1620 usec, 580 usec
1640 usec, 580 usec
